confidence,end,id,metadata,start,text,type
,,1,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""1"", ""name"": ""1"", ""source"": null}, {""id"": ""1"", ""name"": ""1"", ""source"": null}, {""id"": ""150000.00"", ""name"": ""150000.00"", ""source"": null}, {""id"": ""1500.00"", ""name"": ""1500.00"", ""source"": null}, {""id"": ""163000.00"", ""name"": ""163000.00"", ""source"": null}], ""merge_count"": 5}}",,1,Transaction
,,TX001,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""TX001"", ""name"": ""TX001"", ""source"": null}, {""id"": ""TX010"", ""name"": ""TX010"", ""source"": null}, {""id"": ""TX002"", ""name"": ""TX002"", ""source"": null}, {""id"": ""TX020"", ""name"": ""TX020"", ""source"": null}, {""id"": ""TX003"", ""name"": ""TX003"", ""source"": null}, {""id"": ""TX004"", ""name"": ""TX004"", ""source"": null}, {""id"": ""TX005"", ""name"": ""TX005"", ""source"": null}, {""id"": ""TX006"", ""name"": ""TX006"", ""source"": null}, {""id"": ""TX006"", ""name"": ""TX006"", ""source"": null}, {""id"": ""TX007"", ""name"": ""TX007"", ""source"": null}, {""id"": ""TX008"", ""name"": ""TX008"", ""source"": null}, {""id"": ""TX008"", ""name"": ""TX008"", ""source"": null}, {""id"": ""TX009"", ""name"": ""TX009"", ""source"": null}, {""id"": ""TX011"", ""name"": ""TX011"", ""source"": null}, {""id"": ""TX011"", ""name"": ""TX011"", ""source"": null}, {""id"": ""TX012"", ""name"": ""TX012"", ""source"": null}, {""id"": ""TX021"", ""name"": ""TX021"", ""source"": null}, {""id"": ""TX013"", ""name"": ""TX013"", ""source"": null}, {""id"": ""TX014"", ""name"": ""TX014"", ""source"": null}, {""id"": ""TX015"", ""name"": ""TX015"", ""source"": null}, {""id"": ""TX016"", ""name"": ""TX016"", ""source"": null}, {""id"": ""TX017"", ""name"": ""TX017"", ""source"": null}, {""id"": ""TX018"", ""name"": ""TX018"", ""source"": null}, {""id"": ""TX019"", ""name"": ""TX019"", ""source"": null}, {""id"": ""TX022"", ""name"": ""TX022"", ""source"": null}, {""id"": ""TX023"", ""name"": ""TX023"", ""source"": null}, {""id"": ""TX024"", ""name"": ""TX024"", ""source"": null}, {""id"": ""TX025"", ""name"": ""TX025"", ""source"": null}, {""id"": ""T567"", ""name"": ""T567"", ""source"": null}], ""merge_count"": 29}}",,TX001,Transaction
,,iOS 17.1,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""iOS 17.1"", ""name"": ""iOS 17.1"", ""source"": null}, {""id"": ""iOS 17.0"", ""name"": ""iOS 17.0"", ""source"": null}, {""id"": ""iOS 16.5"", ""name"": ""iOS 16.5"", ""source"": null}], ""merge_count"": 3}}",,iOS 17.1,Device
,,I234,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""I234"", ""name"": ""I234"", ""source"": null}, {""id"": ""II234"", ""name"": ""II234"", ""source"": null}], ""merge_count"": 2}}",,I234,Account
,,K890,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""K890"", ""name"": ""K890"", ""source"": null}, {""id"": ""KK890"", ""name"": ""KK890"", ""source"": null}], ""merge_count"": 2}}",,K890,Account
,,PAT001,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""PAT001"", ""name"": ""PAT001"", ""source"": null}, {""id"": ""PAT002"", ""name"": ""PAT002"", ""source"": null}, {""id"": ""PAT003"", ""name"": ""PAT003"", ""source"": null}], ""merge_count"": 3}}",,PAT001,Pattern
,,San Diego,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""San Diego"", ""name"": ""San Diego"", ""source"": null}, {""id"": ""San Antonio"", ""name"": ""San Antonio"", ""source"": null}, {""id"": ""savings"", ""name"": ""savings"", ""source"": null}], ""merge_count"": 3}}",,San Diego,Device
1.0,,E789,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,E789,Account
1.0,,G345,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,G345,Account
1.0,,H678,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,H678,Account
1.0,,J567,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,J567,Account
1.0,,L123,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,L123,Account
1.0,,M456,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,M456,Account
1.0,,N789,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,N789,Account
1.0,,O012,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,O012,Account
1.0,,P345,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,P345,Account
1.0,,Q678,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,Q678,Account
1.0,,R901,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,R901,Account
1.0,,S234,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,S234,Account
1.0,,U890,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,U890,Account
1.0,,V123,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,V123,Account
1.0,,W456,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,W456,Account
1.0,,X789,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,X789,Account
1.0,,Y012,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,Y012,Account
1.0,,Z345,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,Z345,Account
1.0,,AA789,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,AA789,Account
0.94,,Account takeover pattern,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,Account takeover pattern,Pattern
1,,DD789,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,DD789,Account
1,,Las Vegas,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,Las Vegas,Device
1,,California,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,California,Device
1,,GG678,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,GG678,Account
1,,Phoenix,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,Phoenix,Device
1,,Charlotte,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,Charlotte,Device
1.0,,John Smith,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,John Smith,Account
1.0,,Windows 11,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,Windows 11,Device
1.0,,Jane Doe,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,Jane Doe,Account
1.0,,75000.00,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,75000.00,Transaction
1.0,,Robert Johnson,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,Robert Johnson,Account
1.0,,45000.00,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,45000.00,Transaction
1.0,,tablet,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,tablet,Device
1.0,,macOS 14.2,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,macOS 14.2,Device
1.0,,rapid_transfers,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,rapid_transfers,Pattern
1.0,,unusual_pattern,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,unusual_pattern,Pattern
1.0,,8,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,8,Transaction
1.0,,2000.00,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm""}",,2000.00,Transaction
